label,display_name,group_type,image_count,centroid_l2_to_real,centroid_cosine_to_real,pca_centroid_l2_to_real,mmd_rbf_to_real,syn_to_real_nn_mean,syn_to_real_nn_median,real_to_syn_nn_mean,source_objective_value,source_manifest_rank,project_name,category,cycle_index,timestamp,selection_kind,trial_id,run_id,iteration_index,cache_path
run_37,run_37 top_30 ,selected,128,11.003016471862793,0.17470134449052954,7.219860076904297,0.3784886853237035,20.166895480325785,18.587221032017126,17.68281417378883,,,,top_30,,,,trial_0,iter049_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter049_run003__89594c50eddb_dinov2_vitb14_reg.npy
run_26,run_26 top_30 ,selected,128,11.022073745727539,0.17439132444481087,7.402036666870117,0.3780102046297841,20.619834344062383,20.2127677409225,17.485971717398627,,,,top_30,,,,trial_0,iter033_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter033_run000__ffae73d41df5_dinov2_vitb14_reg.npy
run_76,run_76 workspace_noise_r01 ,selected,64,11.047945976257324,0.180464184510033,5.901491641998291,0.38869089883778557,19.444297917829324,17.82259522290841,18.20034574532225,,,,workspace_noise_r01,,,,trial_12,iter002_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_r01/trial_12/cache/iter002_run000__4c771a7db055_dinov2_vitb14_reg.npy
run_31,run_31 top_30 ,selected,128,11.099693298339844,0.17686250483756505,7.6876325607299805,0.3825597336915129,20.371064681732953,19.26501720232764,17.4408079595841,,,,top_30,,,,trial_0,iter047_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter047_run001__d5e73780e4bb_dinov2_vitb14_reg.npy
run_62,run_62 workspace_camera_r01 ,selected,64,11.124470710754395,0.1719953769298308,1.9641097784042358,0.4173591349973252,17.791518774190926,17.011546342274443,18.714812075074363,,,,workspace_camera_r01,,,,trial_84,iter013_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_camera_r01/trial_84/cache/iter013_run003__e1ca50ce14bf_dinov2_vitb14_reg.npy
run_40,run_40 top_30 ,selected,128,11.138123512268066,0.1824981734248704,6.597740173339844,0.38458000404729814,19.804107418183428,18.25349672271311,17.64168115786425,,,,top_30,,,,trial_0,iter052_run002,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter052_run002__378311540ac7_dinov2_vitb14_reg.npy
run_23,run_23 top_30 ,selected,128,11.146370887756348,0.18330529541978902,6.831698894500732,0.3908312971306541,19.94372728642743,18.954151201102835,18.050316720826824,,,,top_30,,,,trial_0,iter023_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter023_run001__399e21d4129e_dinov2_vitb14_reg.npy
run_79,run_79 workspace_noise_r01 ,selected,64,11.146711349487305,0.18090184497591066,7.28012752532959,0.38829013386012184,20.79763005913568,20.37941868615965,18.353362512364583,,,,workspace_noise_r01,,,,trial_96,iter023_run000,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_r01/trial_96/cache/iter023_run000__0d529cf41c7f_dinov2_vitb14_reg.npy
run_74,run_74 workspace_noise_r01 ,selected,64,11.14708423614502,0.18413499069781647,5.86501932144165,0.3914618548432019,19.660220266775404,17.957342061189834,18.28337355063277,,,,workspace_noise_r01,,,,trial_115,iter027_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_r01/trial_115/cache/iter027_run003__a16021192952_dinov2_vitb14_reg.npy
run_15,run_15 top_30 ,selected,128,11.235764503479004,0.18296393584630222,7.472080230712891,0.38189999198662616,20.37655744295047,18.385197599519692,17.681276642960487,,,,top_30,,,,trial_0,iter019_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter019_run001__66d84a7f440f_dinov2_vitb14_reg.npy
run_45,run_45 top_30 ,selected,128,11.245736122131348,0.18652779676674558,6.79356575012207,0.3841311023729487,19.754931530862223,19.520422619906412,17.466576045586617,,,,top_30,,,,trial_0,iter057_run003,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/top_30/trial_0/cache/iter057_run003__5c06cffd3741_dinov2_vitb14_reg.npy
run_80,run_80 workspace_noise_r02 ,selected,64,11.25255298614502,0.1877655382882245,6.635286808013916,0.39315621746681806,20.006194639594597,18.783193381805,17.948635127397303,,,,workspace_noise_r02,,,,trial_112,iter021_run001,,/Users/orram/Tensorleap/data/warehouse/top-runs-may-ok/workspace_noise_r02/trial_112/cache/iter021_run001__12da74b25dcb_dinov2_vitb14_reg.npy
